Описание;Неисправность
"""Сменили е87. Хотелось что-то по вместительней, по выше, да и посвежее, на сколько это возможно😁 В целом авто в достойном состоянии, в неплохой комплектации. Спорт салон не удрочен и не просижен. Датчики света и дождя Парктроники перед/зад Ксенон (стоят линзы билед, свет бомба) Первым делом буду избавляться от китайского тюнинга. 1) Эва коврики — на помойку 2) Селектор АКПП аля Fсерия — на помойку 3) И бельмо на глазу по середине торпеды, туда же — на помойку Ну а дальше будем посмотреть, как говорится😁""";неисправность отсутствует
"""Погода этой зимой у нас отстойная, то плюс то минус и снега нету, а если и есть, то когда плюс) Вот и икс сюрприза выкинул за 3 дня до поездки в аэропорт: одним махом несправен левый передний аморт и замени колодки передние через 400 км. внезапно еще более внезапно, антидождь от turtle wox кстати испытал заодно, прикольная штука В общем на аморт провод отгнил, гильзанул — минус ошибка. С тормозами всё сложнее. При снятом колесе увидел, что колодок еще миллиметров 7, сделал сброс интервала приборкой, уведомление стало вообще красным, мол гони срочно в сервис, износ 100%)), подумал тоже на проводку, позвонил ремонтнику, а он говорит: поменяй датчик, может просто сдох, поменял, так и оказалось Стоял бош, поставил TRW При снятии развалился, но это произошло бы в любом случае из-за кромки на диске, ставил trw, выбирал из того, что по наличию, пришлось чутка подпилить напильником, сначала долго не мог понял, как его засунуть, по итогу обратился к инструкции, там прямо написано: новый датчик + старые колодки = напильник, заодно чутка подпилил кромку диска, чтобы не сильно стачивать датчик. Проехал 20км, неизнос передних колодок все еще 100%, странно чутка Заодно ощутил дополнительные прелести Bimmerkink, сбрасывать интервалы не так бесюче, как через приборку, да можно через иста, но я тут поигрался с линуксом на днях и ушатал веник на ноуте со всем нажитым софтом для бэхи, так что вопрос к знатокам: Какую версию ISTA лучше скачать?, а если еще и с линкой, то ваще спасибо от души P.S. а еще по приколу купил dragy форда с бэхой сравнить, форд в покраске, а с бэхой всё печально🤣 Ипаный стыд n52)""";тормозная система
"""Всем привет. Решился я поменять подлокотник, и не зря. Очень рад конечному результату. Теперь есть куда поставить правый локоть. Покупка 4к доставка 1к, перешив 4.5к. Установка бесплатно. Как же я ошибался, когда решил что там всё легко. Легко обычно на словах. Сегодня вечером собрав волю в кулак, я потопал на парковку. Далее меня ждали приключения. Первые 30 минут я пытался вкурить почему не отщелкивается низ кожуха воздуховода. Далее разобравшись, и сняв его я начал выбивать штифты. Матерясь и вспоминая недобрым словом инженеров, я их вытащил. Выбивать их нужно в сторону сидений, от центра. Так как на самом краю есть насечки. Далее ослабил пружину, и снял сам подлокотник. Как и предупреждали там есть шестерёнка. Она выпала. Снова матерясь я с трудом достал её, и вставил туда где она стояла. Далее я поставил новый подлокотник, и вернул на место штифты. И в конце завёл пружину в паз. Всё собираем, и кайфуем. Я потратил 2 часа, пока разобрался. Но мне главное было сделать всё красиво, и своими руками. Навык прокачан. Всем спасибо. Про сидушки я в курсе. Перешив или замена. Смотрите в следующих сериях… Запчасти на фото: 14121810 Запчасти на фото: 14121810""";неисправность отсутствует
"""Начал мой датчик моросить — то ошибка есть, то нет…решил купить на алике датчик. Если вдруг кому интересно, вот кишки. Только вот незадача вышла, после подключения нового — сразу вылетает по нему ошибка, т.е. мой полуживой и то зелёным горит после сброса ошибок, а этот сразу ошибка датчика. Вскрыл его, вроде, вполне красиво все выглядит. Все на месте. Пайка аккуратная. Делать с новым что-то бесполезно? Думал может старый вскрыть и микросхему какую перекинуть. Спор открыл — деньги вернули. Вот теперь думаю, а что бы такого сделать. Б/У в городе нет. Заказывать откуда-то — тоже та ещё затея. Может быть как и с моим, вроде работает при подключении, а через 200 км может ошибку показать. Есть мысли кроме как покупать новый оригинал за 12 к. В целом не прямо что б нужен был, но ошибка висит. Раздражает чуть.""";электрооборудование
"""Всем привет ! Предпусковой подогреватель это хорошо, но когда им можно управлять хоть от куда, а не только из салона — еще лучше! По этому принято решение ставить сигнализацию gsm . Какую ? Конечно Пандору — все кричат. Только она работает с нашими шинами и бла бла бла … Ну значит ставим Пандору . И тут началось самое интересное . Ее ни кто не берется ставить в Бмв икс 5 ! Официальные и прочие сертифицированные сервисы либо сразу отказываются, либо начинают выдумывать сказки . Говорят, что нужно ставить доп модули различного плана . Байпасы, хренасы и прочие непонятные словечки . С итоговой ценой под ключ более 50 тр . Кинул клич в местную Бмв группу . Откликнулись пару человек, с одним из них договорились . Сегодня сигнализация благополучно установлена . Под ключ мне вышло 31000р . + 2500 семечку делал отдельно . Сигналку выбрал pandect x1800l не самая крутая, но для управления вебастой и двигателем вполне годится . Хотя старлайн также спокойненько устанавливается на наши авто, без всяких заморочек и прекрасно работает . Но за меньшую цену, и при этом имеет больше пользовательских настроек . Есть заморочки с открытием закрытием . Если закрыть ключом, то сигналкой не открыть . А если закрыть сигналкой и открыть ключом, то будет орать сирена . В общем буду приучать себя пользоваться только меткой ) Тонировка . Ни когда не хотел тонировать передние стекла машины ! Во первых плохо видно, во вторых магнит для гаи, и в конце концов я слишком красивый, чтобы прятаться ! Увидел у товарища на иксе передние стекла . Вроде не тонированные, но немного темноватые . Я думал по заводу так, а оказалось, что это 50% . Ну и решил сделать так же . Только ради того, чтобы не было жарко . Приехав в салон, сказал, чтобы катали вместе со лбом, и походу зря )) С катаным лбом видно, что тонировка . А если бы закатал только бока, то это почти не заметно . В общем поезжу посмотрю, как товарисчи к этому будут относится ) Даже задумываюсь жопу перекатать тоже в полтинник, чтобы смотрелось классно . Еще съездил отшил программно егр . А то покоя не давал, постоянные мысли, что смесь не правильная и тд . И обновили заводскую прошивку, у меня была какая-то древняя . Стейч делать не стал, тк есть вопросы к форсункам, да и к турбине ! Возможно, когда нибудь чипанусь . В целом мощности хватает на мой стиль езды . Удачи !""";неисправность отсутствует
"""Кто ездил на спущенных ранфлэт — знает как он взрывается )) И в добавок, Так получилось — что нарвался на самую конченную компанию страховую Согласие, которая пыталась за пол цены у меня украсть машину путем выплаты мне страховки и присвоения себе моего авто, тк по их расчетам взрыв колеса дороже 60% стоимости авто)) в общем критины конченные, пришлось подать в суд и чиниться на свои . Но есть в этом плюс — я решил под этот ремонт сделать тюнинг своему красавцу — скоро поделюсь !""";неисправность отсутствует
"""Всем привет, при покупке автомобиля на левой фаре была трещинка маленькая, на тот момент не было никаких запотеваний, полирнул фары, закатал в пленку все было ровно. Спустя год трещина увеличилась и последний месяц стекло было запотевшим, под конец уже с каплями воды, переживал за блок управления фарой. В сети нашел адрес организации, специализируется на восстановлении оптики и установке свежих линз LED LAB CUSTOM, ссылку оставлю внизу. По работе: Замена стекол фар, установка Bi-Led модулей Aoozom A9( кто что скажет за эту модель, поделитесь пжл в коментах), замена ламп в птф на Led. Оклейка всего этого дела в бронепленку. По итогу: Света дохрена)) Сейчас ПТФ светят как до замены ближний 😆 Граница света четкая, пока толком не понял ничего надо покататься, приятно что теперь у меня есть какой-то собственный свет помимо уличного освещения фонарных столбов и встречки)) Вооьщем как новые, рекомендую!""";неисправность отсутствует
Желтый который горит, он загорелся когда в баке было топливо ниже 5 л (было сообщение что мол может не хватать топливо чтобы мотор функционировал как нужно), случайность или ошибка связана с этим, залил топливо, ошибка не исчезла.;топливная система
"""Накаталась на е87. Что хочу сказать, за 3.5года, норм аппарат за свои деньги! Что было сделано за время эксплуатации: 1) ремонт + провода 2) всяческие переуплотнения двигателя 3) замена радиатора охлаждения 4) 2 редуктора, балансировка кардана 5) колодки, тормозные диски 6) шаровые рулевых тяг 7) летняя/зимняя резина В целом машина радовала больше, чем бесила😁 На смену хотел взять f20, но жене хотелось чëто по выше, чтобы высоко сижу — далеко гляжу🧐, ну и почитав про моторы n13b16, решил остановится на е84. Выскочил неплохой вариант в автосалоне Боравто, махнул не """"глядя"""", копейку оценили в 570т.р., на х1 сделали хорошую скидку = 1 120 000р. Жена рада как 🐘""";неисправность отсутствует
"""Запчасти на фото: 7711428133 Всем приветствую! Подскажите пожалуйста можно залить такой антифриз в бмв е60 ?""";неисправность отсутствует
"""Всем привет. Продал я своего икса пару месяцев назад, все никак руки не доходили написать короткий пост. Продал быстро, уехал в хорошие руки. Купил я себе машину своей мечты — Audi RS6 в кузове С8. Создам страницу, чтобы вести некоторые подсчеты по временным отсечкам владения. С этой страницей своего авто прощаюсь. Икс был прекрасен, но двигаюсь дальше, возможно куплю еще рестового икса, но исключительно на дизельке для неспешных поездок. Всем добра! кому интересно станица — эрэски""";неисправность отсутствует
"""Всем доброго времени суток кто выделяет пару минут на прочтение! Пишу на данный момент мало в силу того, что ничего не происходит. Приехал мой комплект на ТО, жду своей очереди. Предлагаю владельцам прекрасных автомобилей BMW G30/31/32 присоединиться к чату в телеграмме, посвященному данным автомобилям. Людей в чате достаточно много, как опытных, так и не очень. В чате могут поделиться советом с Вами, а так же Вы можете советовать много интересного исходя из своего опыта. Ссылку на чат в посте запрещает оставлять модерация Drive2, так что всем, кто захочет вступить, могу отправить ссылку в личку😂 Всем спасибо!""";неисправность отсутствует
"""Обалдеть! 3 года не писал 🤪 во время летит. Всё это время с машиной все хорошо, проехал и езжу много. Москва — Франция в январе 23 года Москва — «Европа» — Турция — Грузия и обратно. В сентябре 23 года. Во время поездки во Францию машина показала себя отлично, подвело только колесо, микротрещина дала о себе знать и переодично подкачивал колесо на заправках) Во Франции решил сделать предложение своей тогда девушке, сейчас уже любимая жена 🤩 В конце лета решили поехать в Турцию, Стамбул, Анталия, Алания и дальше через Грузию обратно в Москву. Грузия нас выпустила, а Россия не впустила машину. Нарушен срок пребывания (более 90 суток). Там какие то свои особые правила. Вообщем машину бросать не вариант, едем обратно сумасшедшее расстояние) Машинка показала себя прекрасно. Ничего не подвело, ничего не доливал. Проехали больше 10000км за неделю, сейчас и не вспомню подробности уже. Добавлю фоток кому интересно) Ну а в следующей записи мы будем переходить с МКПП на АКПП😎""";неисправность отсутствует
"""Всем привет! Можете подсказать как можно опустить стекла на уже снятых дверях мануально? Нужно снять стекла. Если мануально нельзя, то как/куда подать ток? Спасибо!""";неисправность отсутствует
